Equipment,Date,Flight_Number,Station,Closest_Approach_Timestamp,Meas_Speed,Meas_Distance,Meas_Closet_Approach_Time,Meas_Closest_Approach_Timestamp,Meas_Sound_Speed,Meas_Source_Frequency_Array,Variance,Data_Misfit_Value,
AT73,20190301,531232513,1151,1551470473.42753,139.2820055,3923.887192228910,71.785242612270,1551470433.77202,320.786759927252,[16.87050476 34.50280701 51.79092577 68.83076057 137.81952907 207.08576578 272.90060208],[1.44257138e+01 4.06147229e+02 9.53161572e-02 3.32836595e+01 1.54234167e-01 1.65982390e-01 1.86676159e-01 1.17652491e-01 1.98396408e-01 3.49182536e-01 4.60745015e-01],0.0746694051062897,
AT73,20190301,531232513,1180,1551470654.50922,133.8277707,3783.730009307010,110.271744511085,1551470653.36781,308.427918094638,[68.67393965 137.43065425 206.28987507],[1.43875783e+01 4.06659188e+02 1.07508427e-01 3.31912389e+01 9.84947932e-02 1.49047522e-01 3.36376794e-01],0.0306342091243149,
AT73,20190301,531253346,1114,1551478191.57381,146.0935937,4571.416861277380,111.325846143645,1551478192.35314,318.726132730243,[33.83073397 69.16798314 85.61062996 137.28515376 206.39548896],[1.35035384e+01 4.21863904e+02 9.46864117e-02 2.95095673e+01 1.41474949e-01 1.10512888e-01 2.01461825e-01 2.01360492e-01 3.56000242e-01],0.1009496569732010,
AT73,20190304,531749517,1097,1551736901.88781,151.0526151,4081.943738532440,101.632795568831,1551736892.31858,318.600979576669,[17.1489776 33.99198776 51.25786743 68.9588585 85.1711097 107.83318239 136.94359245 206.55067853],[1.49591672e+01 4.03962370e+02 8.18364064e-02 3.15843544e+01 1.28940900e-01 1.41072909e-01 1.42405975e-01 9.68649672e-02 1.99029466e-01 2.00885179e-01 1.65322952e-01 2.70063254e-01],0.0974625466739043,
AT73,20190306,532131461,1105,1551912829.17736,132.1903936,4621.948447803010,109.367008461340,1551912828.07896,319.729288333852,[16.94466075 34.42110208 51.64471115 69.08253165 86.22585256 138.19820621 207.05813751],[3.90639687e+01 1.36241101e+03 1.25136349e-01 9.45570733e+01 1.67607688e-01 1.28170436e-01 1.65684688e-01 8.19188607e-02 2.02924590e-01 1.47491641e-01 2.41778312e-01],0.0620724055709738,
AT73,20190308,532513793,1120,1552083179.31316,123.067153,3814.210924120700,112.312141997943,1552083180.81718,317.402327591186,[16.61566198 33.97065763 51.44621055 69.32420481 85.69259603 101.96190346 138.66331478 208.29508982],[3.69264409e+01 1.14495969e+03 1.44169236e-01 9.52327795e+01 1.60726498e-01 1.71696082e-01 1.90868634e-01 9.83448668e-02 1.84770111e-01 2.11276050e-01 1.56434725e-01 2.69283457e-01],0.1221865027765010,
AT73,20190313,533365188,1142,1552501521.88946,132.6264946,3113.238761309330,110.407294377093,1552501521.68853,299.500476279771,[16.97091617 72.02055964 142.40934784 217.11176335],[1.61488952e+01 3.80514353e+02 9.12963023e-02 3.65094333e+01 1.37531677e-01 1.83128306e-01 3.07421983e-01 6.02372828e-01],0.1528644069593840,
AT73,20190320,534689838,1166,1553105652.69108,148.1136234,3735.888287790890,111.745109400060,1553105653.32335,317.752791340176,[16.65178515 33.97559974 51.6152901 68.73541611 136.84364074 206.48764923],[1.56044317e+01 3.93327773e+02 8.24065006e-02 3.35227076e+01 1.47623277e-01 1.50595039e-01 1.67180436e-01 1.22273703e-01 2.23150466e-01 4.19177862e-01],0.0998023410962486,
AT73,20190321,534917320,1115,1553202155.38572,125.709428,4523.959674580080,111.679498808017,1553202156.50736,316.227999407971,[16.77853738 34.02656054 50.43290757 69.48021716 83.72825189 103.03771699 138.54670348 206.65757746 5.01571729 11.96538386],[3.77089537e+01 1.35543876e+03 1.29191385e-01 9.49129137e+01 1.12965624e-01 1.53956161e-01 1.98349922e-01 8.40520193e-02 1.63667188e-01 1.95874022e-01 1.39539333e-01 3.21648892e-01 1.63703492e-01 1.40153721e-01],0.1405482734330250,
B18T,20190222,529930264,1149,1550860802.51551,101.9868605,2481.666802323970,72.404537226351,1550860759.48397,321.512398973558,[32.39020316 65.2228715 97.49826396 194.84941579],[1.49511614e+01 3.64849644e+02 1.43108862e-01 4.72516452e+01 1.59613485e-01 2.35702814e-01 2.07337362e-01 4.39082181e-01],0.0451766155052813,
B18T,20190222,529930264,1174,1550860995.64314,99.87667934,2908.903336568490,86.523567520691,1550860967.73402,308.963748366482,[63.05184841 96.01386364 126.97736195 191.65154157],[1.35407729e+01 3.94570403e+02 2.96891202e-01 4.20640496e+01 1.89137946e-01 1.39039501e-01 2.19763775e-01 2.92740877e-01],0.0753405600019315,
B18T,20190222,529930264,1186,1550861092.40737,107.9298256,2078.217043811660,88.829772602084,1550861064.11219,330.196010890359,[31.10801193 64.19491656 97.39731796 194.0558518 289.35066485],[1.68381914e+01 3.24132378e+02 8.99274390e-02 5.15575423e+01 1.14275997e-01 1.58181956e-01 9.20252544e-02 2.14912695e-01 3.79302343e-01],0.1077300458898000,
B18T,20190222,529948401,1107,1550867061.99347,108.0012729,3041.522080433220,97.743989904930,1550867043.96126,308.926792984039,[96.67232558 193.41047377],[1.40395565e+01 3.95285503e+02 2.66951160e-01 4.04586359e+01 1.95012824e-01 4.46961727e-01],0.0998602858212783,
B18T,20190222,529948401,1110,1550867031.79168,93.27988199,2142.983944376830,109.474111893428,1550867024.11676,318.820524990757,[94.3611212 188.6556147],[1.50963203e+01 3.49004874e+02 4.04982963e-01 5.19937504e+01 2.23891244e-01 4.01038407e-01],0.0339928855744934,
B18T,20190222,529948401,1119,1550866958.43354,101.4920475,3125.789891846190,100.870751777053,1550866944.38740,306.579582156649,[32.23533078 64.54151386 96.52989865 193.89513459],[1.31319641e+01 4.04061608e+02 1.83808570e-01 3.97701115e+01 1.17041063e-01 1.74633756e-01 1.08298012e-01 2.76318145e-01],0.0704450284497886,
B18T,20190228,531022273,1152,1551376613.55819,110.773118,2535.928296853280,79.822684360090,1551376577.22735,326.005487587687,[96.62708135 192.79861898],[1.56741172e+01 3.58990420e+02 1.03568178e-01 4.61577145e+01 1.06417411e-01 2.45582627e-01],0.0356666292928488,
B18T,20190228,531022273,1153,1551376618.41115,105.4964985,2567.150482800720,85.642373581023,1551376585.40878,309.756856945825,[31.5627179 63.38209521 96.45055473 192.51978293],[1.51788128e+01 3.69568872e+02 1.05345960e-01 4.46095818e+01 1.70300267e-01 1.53691593e-01 9.18953338e-02 2.29139429e-01],0.0627702135356062,
B18T,20190228,531022273,1166,1551376713.15865,105.0923119,2693.843540922570,90.368848795880,1551376686.82080,311.327136899461,[31.89151353 64.20401747 96.62218766 192.51328479 290.25103423],[1.47288132e+01 3.77492502e+02 1.38846456e-01 4.37229703e+01 1.37647936e-01 1.57435788e-01 1.13355739e-01 2.99618003e-01 4.19771768e-01],0.0655957189545382,
B18T,20190301,531214310,1168,1551462979.98868,101.891581,2798.692283452390,65.136228131266,1551462925.54769,301.770467072077,[31.39242026 95.69970524 191.87589499 62.99710442],[1.41542465e+01 3.88303859e+02 1.32385508e-01 4.19698468e+01 1.72715817e-01 1.20973283e-01 2.55519614e-01 1.37726177e-01],0.1736313985821290,
B190,20190215,528673253,1109,1550256980.12148,105.8427725,2492.118596036490,113.437532521149,1550256979.65375,309.124017951616,[99.29530516 198.84581089],[1.54790886e+01 3.65406898e+02 2.54903602e-01 4.54475205e+01 2.04744911e-01 5.16986776e-01],0.0424995910144905,
B190,20190215,528673253,1114,1550257022.11864,109.211822,2174.840492856890,113.651385763731,1550257021.21769,316.459026645152,[24.97862003 49.16302829 74.74949581 98.87748201 197.92434758],[1.68154358e+01 3.35321310e+02 9.73986366e-02 4.87528701e+01 1.79547993e-01 1.81168119e-01 2.02658521e-01 1.15090899e-01 2.56473840e-01],0.0607725563185185,
B190,20190215,528673253,1123,1550257100.82496,108.2162179,2408.327380117800,111.924807510732,1550257098.78644,314.045261197404,[24.54546239 48.11154532 99.313075 198.45879053],[1.59537355e+01 3.55317663e+02 1.40966216e-01 4.63847103e+01 1.63877998e-01 1.48042545e-01 1.29687037e-01 3.06049396e-01],0.0700423096151286,
B190,20190215,528689027,1108,1550262779.44724,122.4266168,5347.310016225940,107.976456793916,1550262779.46331,306.863072136148,[97.91906417 195.90246448],[1.04281291e+01 4.51551174e+02 2.61445131e-01 2.64896035e+01 1.93922241e-01 4.25834361e-01],0.0193448428577410,
B190,20190219,529361650,1067,1550607992.32606,140.2671275,5720.057203644860,106.422115324008,1550607990.76377,307.574193937305,[24.38785698 48.69966975 73.23763236 97.59916132 122.41169903 153.3610067 195.81229219],[1.10290993e+01 4.49462933e+02 1.46307350e-01 2.42541013e+01 1.13654228e-01 1.47692283e-01 2.05562183e-01 1.32526315e-01 2.69054023e-01 2.20861199e-01 3.25365591e-01],0.0670395134085325,
B190,20190219,529361650,1246,1550606978.01025,145.4887633,5870.269789583310,108.011490138271,1550606977.48298,323.557814832734,[24.5393846 48.78753163 73.57496041 98.61027141 123.34834325 153.88883024 197.14777652],[1.11215092e+01 4.47932154e+02 1.36539827e-01 2.47983045e+01 1.24502491e-01 1.04909192e-01 1.38862231e-01 9.84434473e-02 2.15393212e-01 1.78431021e-01 1.98186318e-01],0.0549472906036442,
B190,20190227,530696852,1049,1551228121.04024,131.8309931,5686.034828698880,108.105456184972,1551228120.30250,305.009330201837,[25.87778773 52.15416741 78.14474587 104.38595621 129.82228616 151.8517906 182.92646912 208.52171902],[1.05048854e+01 4.52547116e+02 1.17361651e-01 2.43454646e+01 8.95059344e-02 1.01911790e-01 1.30961843e-01 9.84334632e-02 1.84922483e-01 1.87411469e-01 2.97285617e-01 2.11477530e-01],0.0463988857579709,
B190,20190301,531217131,1152,1551466102.70923,124.1351516,5403.672975319160,107.767356591611,1551466101.48766,322.528129580280,[96.90364573 193.84638251],[1.03797550e+01 4.49970344e+02 1.75799379e-01 2.70942868e+01 1.34292924e-01 2.98700988e-01],0.0185671937404083,
B190,20190301,531217131,1169,1551466223.71315,121.7890907,5629.560809969530,110.409062906545,1551466225.40011,320.089643914472,[24.53964369 48.39428344 72.1356827 91.85641251 96.36428396 144.65576058 191.96181058 287.06257037],[3.61697293e+01 1.67044856e+03 2.03632866e-01 9.50741092e+01 1.25711218e-01 1.40164161e-01 1.98342409e-01 1.43198298e-01 1.13788455e-01 2.27244850e-01 2.33484294e-01 3.83013731e-01],0.1752444079712310,
